customer_id,first_name,last_name,gender,date_of_birth,age,email,phone_number,address,city_id,city_name,state_id,pin_code,city_tier,region_id,occupation,annual_income_inr,customer_segment,product_line,plan_id,acquisition_channel,acquisition_date,tenure_months,customer_status,churn_date
C0000001,Harish,Shetty,Male,31-03-1988,38,harish.shetty909@yahoo.in,+916647481156,"Plot 382, Tilak Lane, Raipur",CT0026,Raipur,ST027,492680,Tier-2,RG04,School Teacher,791058.0,Mass,Prepaid Mobile,PL002,Retail Store,15-01-2026,2,Churned,22-03-2026
C0000002,Anjali,Khan,Female,31-03-1974,52,anjali.khan525@rediffmail.com,+918116536619,"Door No. 269, Civil Lines Colony, Gurugram",CT0009,Gurugram,ST002,122535,Metro,RG01,Small Business Owner,1385499.0,Premium,Fiber Broadband,PL017,Retail Store,01-01-2014,146,Active,
C0000003,Arjun,Hegde,Male,31-03-1978,48,arjun.hegde378@hotmail.com,+918958153134,"House No. 320, Garden Nagar, Vadodara",CT0020,Vadodara,ST011,390978,Tier-2,RG02,Auto/Cab Driver,394773.0,Enterprise,Enterprise,PL021,Tele-sales,11-11-2015,1,Churned,22-12-2015
C0000004,Vidya,Parmar,Female,31-03-1988,38,vidya.parmar387@hotmail.com,+917763920098,"House No. 204, Industrial Street, Nagpur",CT0015,Nagpur,ST010,440881,Tier-2,RG02,Operations Manager,1977532.0,Premium,Prepaid Mobile,PL006,Tele-sales,2014/10/18,137,Active,
C0000005,Arjun,Saxena,Male,31-03-1988,38,arjun.saxena410@yahoo.in,+916787478273,"Flat 156, Krishna Sector, Warangal",CT0043,Warangal,ST019,506582,Tier-3,RG03,Retired,847300.0,Value,Prepaid Mobile,PL003,Online,20-10-2014,108,Churned,22-10-2023
C0000006,Akash,Ansari,Male,31-03-1990,36,akash.ansari961@hotmail.com,+916083413392,"Plot 307, Lakshmi Sector, Aizawl",CT0067,Aizawl,ST032,796644,Tier-3,RG04,Government Employee,627469.0,Premium,Smart Home,PL025,Online,20-06-2018,93,Active,
C0000007,Nikhil,Shah,Male,31-03-2000,26,nikhil.shah569@yahoo.in,+916529964485,"Flat 237, MG Road, Rourkela",CT0055,Rourkela,ST023,769163,Tier-3,RG04,Freelancer,1232083.0,Value,Postpaid Mobile,PL007,Online,13-01-2024,17,Churned,06-07-2025
C0000008,Sanjay,Hussain,Male,01-04-1991,35,sanjay.hussain460@hotmail.com,+918039201799,"Door No. 103, Janpath Cross, Vijayawada",CT0029,Vijayawada,ST018,520224,Tier-2,RG03,Auto/Cab Driver,359133.0,Value,Prepaid Mobile,PL005,Tele-sales,11-09-2024,18,Active,
C0000009,Harish,Chatterjee,Male,31-03-1996,30,harish.chatterjee164@rediffmail.com,+918153754834,"Villa 173, Tilak Cross, Bilaspur",CT0059,Bilaspur,ST027,495460,Tier-3,RG04,Self Employed,1195061.0,Premium,5G,PL013,Tele-sales,28-10-2014,137,Active,
C0000010,Imran,Saha,Male,31-03-2006,20,imran.saha293@outlook.com,+916422921624,"Flat 239, Tilak Sector, Bengaluru",CT0003,Bengaluru,ST015,560151,Metro,RG03,Retail Shopkeeper,262891.0,Value,Prepaid Mobile,PL004,Retail Store,01-02-2026,1,Churned,22-03-2026
